Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking about Albuccas.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor pierced an apendicitis (appendicitis), and it ruptured within days; as the wickedness of him grew towards his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the head will be cut for excessive melancholalgy (depressed humor), and not all of it shall come to you but rather the member wherein ye have been hosted from start till now.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, boys, it is necessary that the operation be planned in two aspects: one related to health (healing) and another associated with risk (major procedures).
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here comes the first source sentence to translate: "E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your weapons for solicitation and protection, and your illnesses for fortification and strengthening.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Here comes the translation of this medieval medical treatise line by line into English:
Gualia ja diyssec en alcunas sieuas monicios:	Quan dolor de juncturas son faytas per humors fregas les quals so enfundutz a quascun membre del cors,
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	When illness is not arthritis, doctors will not name it.
E yeu ja he devesit aquest libre segontz tres capitols.	And you already occupy this second volume with three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of free will, starting from the primary partition.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The ordered first chapter within the feet, in terms of instruments and tools for caulters, what is needed therein?
La divisio de la segonda partida.	The division of the second partition.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The Second Chapter of cautery and perforation, and of pills, potions, extractions from herbs and similars for those things, all is arranged according to the forms of these instruments.
Divisio de la tersa partida.	Division of the clean cut portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third pillar of restoration and displacement, as well as the care for twisting and appearance to these individuals; ordered by the head within the body'supositions indicate a structured approach in medieval medicine towards diagnosing and treating certain conditions such as sprain (twist) or contortion. Here 'capitol,' likely referring to medical practice, outlines three key areas: restoration ('restauracio'), which could mean helping the body recover from injury; displacement ('dislocacio'), possibly indicating how misalignments in
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery to acute medicine and for remembering the wound (this implies a treatment or healing approach that includes not just immediate action but also mindfulness of past injuries). This line suggests using tools like lancets ('
Am aquel comensa le tractat de tot le libre.	At this point, the practitioner begins to address everything within their control (this implies that at a certain juncture in treatment or
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Where they examine the quality of both movement and flesh (likely referring to a careful assessment or treatment plan), with specific instructions on when it is not advisable to use such treatments ('cautery'). This highlights an important aspect in medieval medicine: tailored, patient-specific approaches that consider individual conditions. Here 'cauci' refers back to the cauterization tools used by doctors for treatment or possibly wound management
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Thus the topic of cauterization's effect on body and soul is long and complex; subtle by science yet hidden in secrets (this suggests that understanding these treatments requires not only medical knowledge but also insight into their deeper implications). They discuss it extensively among themselves, often disagreeing or having differing opinions ('temen perlonguo'), leaving me just a small part of the larger conversation. Here 'sermo' means dialogue and could refer to scholarly discourse on medicine at that time—full of depth but also possibly shrouded in confidentiality due to its sensitive nature about treatments like cauterization, which may have involved trade secrets or proprietary knowledge among practitioners. This underscs the complexity not only within medical practices themselves (the technicalities and disagreements) but also amongst those who practice them ('temen perlonguo').
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And it is said that the pointed cautery comforts the entire body universally, except for two kinds of complexes which are parts of its matter - namely, tail-like parts.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex tail and dry matter it separates; they disperse salves that benefit that part, and others apply them to its opposite, which are not suitable for illness characterized by quality and dryness—whereas nature of the focus is both quality and dryness, making treatment with such liquids beneficial.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Here comes the first sentence to translate:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And as for the speech of that person, I have already discovered some things by experimentation with them myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Mightily not when the one who has already been examined and practiced cautery on yesterday' extricates themselves from it for further exercise, understanding the complexity of human composition as well as the disposition of diseases within their bodies, along with the causes of those ailments and timing thereof.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May also occur in other complexities, not out of fear but mainly due to excessive cold and wet humors, which is why all doctors agree on treating them therein with caution.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Here comes the first source sentence to translate:
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine burn reach that in their limbs which they have neglected and force them to come forth into the diseased member difficultly cured, thus compelling it outward with its treatment.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire (likely referring to a treatment method), because of its sublimation and beneficial substance, does not produce anything but excess. We have already become known through experiment and long-term study in this art concerning truth about causes; therefore we are excused from lengthy discourse here at rest while holding your hands on the focus area, as it will demonstrate a philosophical proof of our actions performed on the body'dictus (likely referring to curative techniques), which if understood properly can alleviate pain in their pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And learned physicians understand that it is best in the early part of the year to perform cauterizations and pauses for the most benefit.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	Here comes the first sentence to translate: "And it is said that cautery is convenient at all times, for thus harm caused by water (the fluid used in cauterization) remains where applied and tends mainly when necessary due to pains or necessities such as fistulas and abscesses which do not delay because of the fear of malice acting on them; this greater damage occurring over time is considered worse than minor harm coming through periods.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Here comes the first source sentence to translate:
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	Here comes the first source sentence to translate:
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Even though there are unnecessary tools used in medicine due to the patient'se flow and vitality of operation, as well as the greatness of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some time during the day according to the complexity of the disease and its location in the body, as well as what has been prepared on their feet by excess fluids retained from those causes; but if cautery is administered for pain or semblance due to small surplus quantities and humidity, it may also prevent that same pain here (in this place), possibly occurring in the foot.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Even though it is vulgar speech that we use for medicine practices here, and not the proper language of physicians which I understand as ineffective treatment neither by myself nor by others at these removals.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	Here comes the first source sentence to translate:
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here comes the first source sentence to translate: And now that we use caustics for medicine treatment according to what is commonly understood by doctors and others.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And those made of gold are better than those made of iron for caulters (instruments used to apply heat or fire), and they were not carried unless necessary due to their equality in weight with silver and the purity/sublimation of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Even when the use of cautery does not produce heat as intended (for that which is used in this practice should generate warmth), they prepare and apply it, realizing its superior quality to iron needles for these purposes; however, if you are using a piece of cautery made from gold at the focus point, adjust according to how much force one wishes to inflict upon silver (the material being used by them). Furthermore, when lighting an ignition in this area, the fire will engulf it. And should sparks fly off as a result during its operation, that is because of the tool's occupancy therein for said purpose.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Through this water, we apply iron needles and insert them properly for the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And in the instruments of cautery as outlined hereinbelow, they have arranged those within their feet, ensuring that anyone seeking help from them can get what they need.
De cauteri de dolor de cap per frigiditat e humiditat.	From cautery for head pain due to coldness and moisture.
Le capitol primier.	The First Chapter (assuming "Le capitol" refers to the
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 The First Chapter: Here you will apply moisture and cold on the accident wound that is causing these reasons; it stems from too much fluid discharge (likely referring to edema), urgent care needs, ranging from hip pains to elbow movements, prolonged sleeping periods, dental pain, general suffering caused by frostbite, potential paralysis along with hardness and apoplexy (bleeding in the brain), as well-like symptoms within these illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: initially command the hump to be expelled through medical suction for three or four days, according to the urgency of the hump and the patient'sup age and habitus.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Here comes the first source sentence to translate: Return his head with forceps and place that sponge between your hands on a raised bed, keeping it above their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	When you rest your palm on top of your foot, placing it over the bridge between their nostribus (noses), here comes what needs to be done:
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Whenever the heat arrives from below where it has reached as indicated by that place, this spot tries to expel and with fire (the form of) these pointed instruments used for treatment.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Here comes the first source sentence to translate:
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Return your hand and observe the place; if you find any amount of bone in the shoulder that has been exposed (possibly due to an injury or dislocation), raise it as much as there is grief moaning, holding its position either with this one iron tool hereby provided for such purpose, or another. If chilled by cold, enter where you have seen mentioned on bone by the doctor previously stated.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Return the intestine or hernia into its cavity, and place your hand over the area so that the intestine does not protrude outward. Apply a small amount of salt and dissolve it on the location for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Return your hand over his chest where it has begun, and place that thereon which was destroyed by the focus's blade.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Return care for the location where the snake'thy concoction is within so that it may heal.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And when a patient has urinated (diyser), and the child goes to pour water over their bracelets (geta), it is better for health and may even be beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Here comes the first source sentence to translate: And it is that they will have their navel cauterized within the body, and hold the instruments inside until some portion of the dissected part has dried out.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	When it is necessary for humors (body fluids) that have accumulated in bone marrow to be drained away and when care must take place, so: the patient needs immediate attention/treatment.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	There are others who come to the crucible through which they will enter and exit into bone (their skeleton), entering while it is tightly closed within until it cracks open; this is how small healing takes place.
E estiman de aquel loc expiran la vapors del cap.	E from that place exhale the humors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	If the patient has had it for a long time and if they are cured within that period of being secured or stabilized.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May I not see all these various cautery tools at once; only in wise homes through fear they are used – and this one should be better for my health if I use it when the head is raised by solace, especially since we have testified here about other members' ailments, primarily when the head of the thigh protrudes naturally.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And if it is possible that this initial form of cautery may save and be more beneficial than anything else, then from that vase (pot) where the water resides, draw some for health benefits.
Capitol segon.	Capital Second.
Del cauteri del cap.	Of the pointed cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head there is chronic and long-lasting pain, it lies extended within the malady, using swords and scalpels and crown drills and instruments of burning and nail hammers and weights, as well as servants for assistance—mostly if any cauterization has already been performed on one's body with a heated instrument that does not further investigate into these causes. They consider it especially so when the head swelling is due to significant thickening in its nature; but this should not be excessive harm, and thus another form of cautery will then also apply itself upon said area (the one previously treated).
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Return that tool over the top of your head for cauterization, until the penis is cut open.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and expose its quantity that we have recorded and seal it with a cauterium in the back part of the head where it has been called upon (this is also where suction was applied).
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand so high, that you do not see the patient' extricable parts; for when this humoral imbalance causes great pain different from the pains of other caustics applied to the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here the lancet is used in its place, so that this very same instrument will be employed to burn away corns on the head and back (where it has been carefully applied), which constitutes its form of treatment.
Capitol ters.	Capital termination (assuming "capitol" refers to
De cauterisacio de emigranea no-antiqua.	In translating this line, it seems that the text is discussing a form of treatment or procedure related to an old method for stopping hemorrhage (bleeding
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the severe pain of arthritis is present or when there's a kindling sensation within the joint (or bone), it is incumbent upon physicians to apply immediate measures; and they must administer either acute combustion treatment, which I have described in various aspects related to diseases, or application with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May cupping implements of medicine burn so that you grasp a vessel of brass and remove the limbs from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Return and strike the location of pain on one side with a sharp lance within where it is hidden under flesh for so long that even bone cannot be seen as its hiding place; then pierce therein to alleviate suffering.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Here comes the first source sentence to translate:  
E aprop cura aquel am enguent entro que sia sanat.	Return care for that which is inside within the one where it has been healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you come, take some of these burning remedies that you have written about in the book on hot treatments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the caustic action be with iron according to this method: fire for lances.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a closed knot or lockpicking form, in which the head of the patient's body part resembles a small rose (carnation), and its position at this place on the body also significant.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Return the pause over the location of pain and hold your hand—so that the iron needle does not harden quickly, which happens when it is used for too long—and turn the small iron gradually by speed to avoid discomfort or injury.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood collected through the speculum inserted into the catheter is enough for your hand to prevent the artery from being compressed further, thereby avoiding bleeding out (the flow of bile).
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Here comes the translation of each line:
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you go, then perform a cautery on the extremity of the lancet according to cauterization and be careful not to make an incision into this circulating vessel directly in its non-ancient state.
Capitol quart.	Capital quarter (assuming this refers to one of four
De cauterizacio d’emigranea antiqua.	Caustic for ancient emigrant treatment." This line suggests a reference to an old medical practice involving the use of caustics—substances with
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat ancient emigrants with what has been said about their cure, and what has been mentioned in the divisions of illnesses; if not improving care, when a pain that is beyond our remedy for topical or cutaneous caustics remains—point to where it lies along this long line which represents its essence. Place your hand carefully within these bounds as you handle cautery instruments (possibly implying the use of metal tools) with great precision and care, ensdicting that even a simple instrument like tongs must be used delicately during treatment.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuous motion of the jaw that grinds its teeth (bruxism), and ensure that there is no strain on the muscles involved in this action, so as not to provoke a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of blood from the artery, there is fear in him who does not know what makes it happen and doesn'thy studies or precautions are directed towards that; thus perform surgery on him with care.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And when they come back for memory of the regimen of flow or sanction from the acorn according to their medical practice here in this place.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you feel this illness that does not supply the necessary heat for the cautery and affects part of the body (the abdomen), then anneal it at the head'thy place as we have described, and care for the patient until they are healed.
